no,title,author,category,format,access_type,pages,file_size,description,isbn,year,publisher,cover_image,file_url,tags,total_copies,available_copies,is_featured,is_popular,is_new
12,Kumpulan Doa dari Al-Quran,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Kumpulan Doa dari Al-Quran adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1FqyQ_gKpY_1PlTN07oCsyuzWBG_goqD5,https://drive.google.com/uc?export=download&id=1H-m2nCjcmOUDANvvv1jo8J9ZYIDZgaI1,,1,1,FALSE,FALSE,TRUE
13,Membahagiakan Abi,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Membahagiakan Abi adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1_cK85dR8PMQI0Z2Yqbpls-7O2jTlCxuV,https://drive.google.com/uc?export=download&id=1NVFfR8iSaVP4_Cx_9nTtekEgLOfSypuL,,1,1,FALSE,FALSE,TRUE
14,Membahagiakan Ummi,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Membahagiakan Ummi adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1iEszGaEriSAl4A9qz12FfilyD5QeHcsV,https://drive.google.com/uc?export=download&id=1LTHlANsbK_XTmEC9sX4hc2vZVdiVKgxP,,1,1,FALSE,FALSE,TRUE
15,Menjadi Manusia Terbaik EBS,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Menjadi Manusia Terbaik EBS adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1LcsP7T0DB7Dw7F5qBI7F7-7J_PUu8wIy,https://drive.google.com/uc?export=download&id=15ua8-74UQaq0Ov14k01gFz4EmgM1wX1d,,1,1,FALSE,FALSE,TRUE
16,Rahasia magnet rezeki,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Rahasia magnet rezeki adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1YMo_aX_JPeqJB9PQyqxkakrinMOYywK0,https://drive.google.com/uc?export=download&id=1ugT8tC3EBVhbIwHnSYSIBTTXLUHqKZ_W,,1,1,FALSE,FALSE,TRUE
17,Sebuah Bingkisan Sebagai Bekal Teruntuk Musafir,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Sebuah Bingkisan Sebagai Bekal Teruntuk Musafir adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1xl1FGpRauCd3FKnoyW8bE9z0_5dCcONR,https://drive.google.com/uc?export=download&id=1QP00Y1oS6BGchBXvT0nmlbi7Q4wq44jV,,1,1,FALSE,FALSE,TRUE
18,Serial 4 wanita penghuni surga,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Serial 4 wanita penghuni surga adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1t1vnQ3JoQ3Jg2Ifl5TkPOd4qMxwxg4Z7,https://drive.google.com/uc?export=download&id=1tLVO3LyxycOKGe_JXrFQ9EAaDuFVz3o5,,1,1,FALSE,FALSE,TRUE
19,Umar bin khatab,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Umar bin khatab adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1eT4dJIlvJmrlBUfTNslBxEEMZBLz-hFq,https://drive.google.com/uc?export=download&id=1Z3UsO9Xm9RCCQzBCoDjNDWEvwUg9Nk-L,,1,1,FALSE,FALSE,TRUE
20,Usman bin affan,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Usman bin affan adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1FbI_kRqn5lZGKtJf93QmOeCr3m37BZuQ,https://drive.google.com/uc?export=download&id=1XlxMDoVR1dr26zB5sQCyHnpmMYdbZbEl,,1,1,FALSE,FALSE,TRUE
21,9 Pesan Akidah dalam Ibadah Puasa,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku 9 Pesan Akidah dalam Ibadah Puasa adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1SUGQ6xdkd9EhTUmBO4dw2Ceb9lO6Gw5P,https://drive.google.com/uc?export=download&id=1PpDiKZdUjq8NbCcYS5n4MGkWGhzcFaUZ,,1,1,FALSE,FALSE,TRUE
22,10 Hadits Sebagai Nasehat Di Bulan Syawwal,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku 10 Hadits Sebagai Nasehat Di Bulan Syawwal adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1PRGBQuYQ3s9Nga0y70bdTpdGtdycXY5e,https://drive.google.com/uc?export=download&id=1cGRCO1Yd74Tp9aPCTarZZmFch9MxG8R9,,1,1,FALSE,FALSE,TRUE
23,25 Kaidah Tauhid,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku 25 Kaidah Tauhid adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=18F18Ee-A0zbUm7X_0oO3yjXiZ2fNxSXf,https://drive.google.com/uc?export=download&id=13XlGMD49aD4Oq_p9u5eZ9Yp8RP7ohURW,,1,1,FALSE,FALSE,TRUE
24,32 Serba Serbi Bulan Syakban EBS,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku 32 Serba Serbi Bulan Syakban EBS adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1z6pbccpjPi4E8jCGVG2jfeOycCtlRrCc,https://drive.google.com/uc?export=download&id=1jkvngK-xP73sKhgwkGlq_KLgmZ4QTBhH,,1,1,FALSE,FALSE,TRUE
25,Akibat Melalaikan Shalat,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Akibat Melalaikan Shalat adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1KiUTqkcI0DqKxUixlFHBMoG_ienA_3HN,https://drive.google.com/uc?export=download&id=1BdTQJoF223FvWNqmqD9xFxxiw6Dx-sTe,,1,1,FALSE,FALSE,TRUE
26,Aset Berharga Dunia Akhirat,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Aset Berharga Dunia Akhirat adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1j_yX-J3XeG4SA-BRSLki-unkB0YmFG0W,https://drive.google.com/uc?export=download&id=1MVj134c7-EwB8uipiDfYbVIO26q5gEb4,,1,1,FALSE,FALSE,TRUE
27,Asmaul Husna English,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Asmaul Husna English adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1a2Nq3El2fYTT4JAMmNO36-wWKb6l6QFE,https://drive.google.com/uc?export=download&id=1gulRs5CGc0nLi0WgbbaFMbgd1M99pf2f,,1,1,FALSE,FALSE,TRUE
28,Belajar Romantis dari Rasulullah,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Belajar Romantis dari Rasulullah adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1F_u5cgQmeVq7pqdTd8Yvwb81YFa7phhi,https://drive.google.com/uc?export=download&id=1qG55MokJqa5GRHhkxXj69PRZZbjrpoXY,,1,1,FALSE,FALSE,TRUE
29,Berbuat Baik adalah Sedekah,Terang Literasi,Edukasi,PDF,Akses Terbuka,,,"Buku Berbuat Baik adalah Sedekah adalah buku dengan kategori Edukasi. Buku ini ditulis oleh Terang Literasi. Buku ini dapat diunduh, dibaca dan didiskusikan bersama di Terang Literasi.",,2026,Terang Literasi,https://drive.google.com/uc?export=download&id=1cgkgy08XT9b3AxuTMoSnlpBtWdkG0E_9,https://drive.google.com/uc?export=download&id=1kvIKCF3jclzQbeiOe9575yzHl8pApGLq,,1,1,FALSE,FALSE,TRUE
